Category Code;Category Title;Template;Order Rules;Low Score;High Score;Subject;Rating;Icon;Title Icon;Sequel;Course
224;Addition to 20 - Missing;R3;;6.7;4.63;N;1370;Addition;Addition to 20 ;0;en_num
225;Double;R3;;4.3;3.01;N;1380;Multiplication;Double;0;en_num
226;Addition to 20 - Turned Around;P8;;5.48;3.76;N;1390;Addition;Addition to 20;0;en_num
227;Addition and Subtraction 1;R3;;4.63;3.34;N;1400;Addition Subtraction;Addition and Subtraction;1;en_num
228;Number Pattern - Increasing 3;R3;;4.63;3.34;N;1410;Patterns;Number Pattern - Increasing;3;en_num
229;Time - Digital 1;P5;;3.54;2.51;N;1420;Time;Time - Digital;1;en_num
230;Left and Right;R2;;3.54;2.51;N;1430;Left _ Right;Left and Right;0;en_num
231;Subtraction less than 10 - Missing;R3;;5.48;3.76;N;1440;Subtraction;Subtraction less than 10;0;en_num
232;Ten Times Tables Introduction;R3;12;3.54;2.51;N;1450;10x;Ten Times Tables Introduction;0;en_num
233;Subtraction less than 20;R3;;6.7;4.63;N;1460;Subtraction;Subtraction less than 20;2;en_num
234;Time - Analogue 2;P9;;5.48;3.76;N;1470;Time;Time - Analogue;0;en_num
235;Two Digit + One Digit With Carry;R3;;6.7;4.63;N;1480;Addition;Two Digit + One Digit;0;en_num
236;Ten Times Tables;R3;;3.54;2.51;N;1490;10x;Ten Times Tables;0;en_num
237;Number Pattern - Decreasing 3;R3;;4.63;3.34;N;1500;Patterns;Number Pattern - Decreasing;3;en_num
238;Ten Times Tables - Missing;R3;;3.76;2.73;N;1510;10x;Ten Times Tables;0;en_num
239;Time - Digital 2;P5;;4.3;3.01;N;1520;Time;Time - Digital 2;2;en_num
240;Two Times Tables Introduction;R3;12;3.76;2.73;N;1530;2x;Two Times Tables;0;en_num
241;Two Digit - One Digit Without Trade;R3;;5.48;3.76;N;1540;Subtraction;Two Digit - One Digit;0;en_num
242;Subtraction less than 20 - Missing;R3;;5.48;3.76;N;1550;Subtraction;Subtraction less than 20;0;en_num
243;Two Times Tables;R3;;3.54;2.51;N;1560;2x;Two Times Tables;0;en_num
244;Ten Times Tables - Turned Around;P8;;3.76;2.73;N;1570;10x;Ten Times Tables;0;en_num
245;Divide by Ten;R3;;3.54;2.51;N;1580;Division by;Divide by Ten;0;en_num
246;Five Times Tables Introduction;R3;12;3.76;2.73;N;1590;5x;Five Times Tables;0;en_num
247;Subtraction less than 20 - Turned Around;P8;;5.48;3.76;N;1600;Subtraction;Subtraction less than 20;0;en_num
248;Subtracting Multiple of Ten;R3;;6.7;4.63;N;1610;Subtraction;Subtracting Multiple of Ten;0;en_num
249;Two Times Tables - Missing;R3;;4.63;3.34;N;1620;2x;Two Times Tables;0;en_num
250;Five Times Tables;R3;;4.3;3.01;N;1630;5x;Five Times Tables;0;en_num
251;Two Times Tables - Turned Around;P8;;4.3;3.01;N;1640;2x;Two Times Tables;0;en_num
252;Numbers in Words;R3;;4.63;3.34;N;1650;Number Recognition;Numbers in Words;0;en_num
253;Halve;R3;;3.54;2.51;N;1660;Division;Halve;0;en_num
254;Five Times Tables - Turned Around;P8;;4.3;3.01;N;1670;5x;Five Times Tables;0;en_num
255;Two Digit - One Digit With Trade;R3;;6.7;4.63;N;1680;Subtraction;Two Digit - One Digit;0;en_num
256;Five Times Tables - Missing;R3;;4.3;3.01;N;1690;5x;Five Times Tables;0;en_num
257;Eleven Times Tables Introduction;R3;12;3.76;2.73;N;1700;11x;Eleven Times Tables;0;en_num
258;Divide by Two;R3;;3.54;2.51;N;1710;Division by;Divide by Two;0;en_num
259;Time - Analogue 3;P9;;5.48;3.76;N;1720;Time;Time - Analogue;3;en_num
260;Times Tables 1;R3;;3.54;2.51;N;1730;Times Tables;Times Tables;1;en_num
261;Eleven Times Tables;R3;;3.54;2.51;N;1740;11x;Eleven Times Tables;0;en_num
262;Time - Digital 3;P5;;4.63;3.34;N;1750;Time;Time - Digital;3;en_num
263;Four Times Tables Introduction;R3;12;4.3;3.01;N;1760;4x;Four Times Tables;0;en_num
264;Eleven Times Tables - Missing;R3;;3.76;2.73;N;1770;11x;Eleven Times Tables ;0;en_num
265;Divide by Five;R3;;4.3;3.01;N;1780;Division by;Divide by Five;0;en_num
266;Eleven Times Tables - Turned Around;P8;;3.76;2.73;N;1790;11x;Eleven Times Tables ;0;en_num
267;Four Times Tables;R3;;4.63;3.34;N;1800;4x;Four Times Tables;0;en_num
268;Time 1;R3;;4.63;3.34;N;1810;Time;Time;1;en_num
269;Three Times Tables Introduction;R3;12;4.3;3.01;N;1820;3x;Three Times Tables;0;en_num
270;Division 1;R3;;3.54;2.51;N;1830;Division;Division;1;en_num
271;Four Times Tables - Missing;R3;;4.3;3.01;N;1840;4x;Four Times Tables ;0;en_num
272;Three Times Tables;R3;;3.54;2.51;N;1850;3x;Three Times Tables;0;en_num
273;Four Times Tables - Turned Around;P8;;4.3;3.01;N;1860;4x;Four Times Tables;0;en_num
274;Time - Digital 4;P5;;4.63;3.34;N;1870;Time;Time - Digital;4;en_num
275;Divide by Eleven;R3;;3.54;2.51;N;1880;Division by;Divide by Eleven;0;en_num
276;Three Times Tables - Missing;R3;;4.3;3.01;N;1890;3x;Three Times Tables;0;en_num
277;Three Times Tables - Turned Around;P8;;3.76;2.73;N;1900;3x;Three Times Tables ;0;en_num
278;Addition and Subtraction 2;R3;;6.7;4.63;N;1910;Addition Subtraction;Addition and Subtraction;2;en_num
279;Time - Analogue 4;P9;;6.03;4.01;N;1920;Time;Time - Analogue;4;en_num
280;Divide by Four;R3;;3.76;2.73;N;1930;Division by;Divide by Four;0;en_num
281;Times Tables 2;R3;;3.54;2.51;N;1940;Times Tables;Times Table;2;en_num
282;Six Times Tables Introduction;R3;12;4.3;3.01;N;1950;6x;Six Times Tables;0;en_num
283;Mixed Mentals 1;R3;;3.54;2.51;N;1960;Mixed Mentals;Mixed Mentals;1;en_num
284;Divide by Three;R3;;3.54;2.51;N;1970;Division by;Divide by Three;0;en_num
285;Six Times Tables;R3;;3.54;2.51;N;1980;6x;Six Times Tables;0;en_num
286;Number Pattern - Increasing 4;R3;;6.7;4.63;N;1990;Patterns;Number Pattern;4;en_num
287;Eight Times Tables Introduction;R3;12;4.3;3.01;N;2000;8x;Eight Times Tables;0;en_num
288;Six Times Tables - Missing;R3;;4.3;3.01;N;2010;6x;Six Times Tables;0;en_num
